epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3764,0.79372,1.94832,1.0767,0.0105,1,0.97927,0.88495,0.38309,2.38255,0.82343,0.00044,0.00044,0.00044
2,90.5416,0.65176,1.09319,1.00324,0.97314,0.9792,0.96983,0.8866,0.44518,1.77497,0.84435,0.00085545,0.00085545,0.00085545
3,122.185,0.56726,0.89452,0.9353,0.97313,0.97872,0.97036,0.88336,0.43981,1.39116,0.83864,0.00122536,0.00122536,0.00122536
4,157.287,0.62863,0.83979,0.94841,0.9502,0.93243,0.95884,0.81675,0.6111,1.20824,0.91016,0.00154973,0.00154973,0.00154973
5,194.448,0.62149,0.87225,0.94889,0.95598,0.97297,0.96588,0.84663,0.54982,1.10553,0.87356,0.001604,0.001604,0.001604
6,232.527,0.6159,0.82358,0.95673,0.95756,0.99324,0.97663,0.88493,0.44409,0.92254,0.8323,0.001505,0.001505,0.001505
7,270.199,0.55321,0.74125,0.93372,0.97367,0.99943,0.97685,0.90939,0.37648,0.75653,0.81351,0.001406,0.001406,0.001406
8,312.042,0.54838,0.74716,0.9482,0.97285,1,0.97928,0.92389,0.34245,0.71487,0.80283,0.001307,0.001307,0.001307
9,356.931,0.51967,0.67785,0.93036,0.96925,0.86486,0.8465,0.77711,0.36903,0.69147,0.80753,0.001208,0.001208,0.001208
10,403.362,0.5043,0.63409,0.90817,0.96599,0.78378,0.76706,0.71067,0.37202,0.66481,0.81691,0.001109,0.001109,0.001109
11,449.163,0.38514,0.7102,0.85344,0.96531,0.76351,0.75049,0.71372,0.31138,0.59852,0.79837,0.00101,0.00101,0.00101
12,495.928,0.36764,0.66931,0.83893,0.96621,0.78378,0.76558,0.73082,0.29852,0.56486,0.79943,0.000911,0.000911,0.000911
13,543.597,0.35589,0.62037,0.82152,0.96174,0.68919,0.66476,0.63066,0.31098,0.53338,0.80123,0.000812,0.000812,0.000812
14,596.679,0.3411,0.59501,0.8288,0.96112,0.68243,0.66508,0.63725,0.30371,0.52774,0.79562,0.000713,0.000713,0.000713
15,647.478,0.3342,0.56727,0.81875,0.95906,0.64189,0.62966,0.60211,0.30363,0.4967,0.79771,0.000614,0.000614,0.000614
16,699.249,0.33054,0.54822,0.81315,0.95287,0.55405,0.54242,0.52332,0.28874,0.46779,0.79485,0.000515,0.000515,0.000515
17,753.613,0.31675,0.52614,0.81731,0.95545,0.58784,0.5738,0.56237,0.25733,0.45371,0.78747,0.000416,0.000416,0.000416
18,808.04,0.29612,0.50568,0.81004,0.95687,0.60811,0.60088,0.59078,0.25212,0.43429,0.78695,0.000317,0.000317,0.000317
19,862.216,0.30037,0.49106,0.81087,0.94877,0.50676,0.4997,0.4821,0.26201,0.42762,0.78893,0.000218,0.000218,0.000218
20,919.081,0.2863,0.47636,0.80694,0.96445,0.74324,0.73345,0.72684,0.23888,0.42064,0.78542,0.000119,0.000119,0.000119
